key	title	authors	venue	year	section	paper_url	code_url	note	source
1308.0215	A survey of the Schrödinger problem and some of its connections with optimal transport	Christian Léonard	Discrete Contin. Dyn. Syst. 2014	2014	1	https://arxiv.org/abs/1308.0215		Schrödinger 问题的经典综述：大偏差起源、与熵正则 OT 的联系、动态/静态表述。	foundation
2005.10963	Stochastic Control Liaisons: Richard Sinkhorn Meets Gaspard Monge on a Schrödinger Bridge	Yongxin Chen, Tryphon T. Georgiou, Michele Pavon	SIAM Review 2021	2021	1	https://arxiv.org/abs/2005.10963		把 SB 讲成随机控制问题的权威综述：Sinkhorn 迭代 ↔ IPF ↔ 最优控制三位一体。	foundation
1306.0895	Sinkhorn Distances: Lightspeed Computation of Optimal Transport	Marco Cuturi	NeurIPS 2013	2013	1	https://arxiv.org/abs/1306.0895		熵正则 OT 的 Sinkhorn 算法：SB 离散化后每一步 IPF 都是它。	foundation
1803.00567	Computational Optimal Transport	G. Peyré, Marco Cuturi	Found. Trends Mach. Learn. 2019	2019	1	https://arxiv.org/abs/1803.00567		计算 OT 教科书；熵正则、Sinkhorn、动态形式的标准参考。	foundation
2412.06264	Flow Matching Guide and Code	Y. Lipman, Marton Havasi, Peter Holderrieth, Neta Shaul, Matt Le et al.	arXiv 2024	2024	1	https://arxiv.org/abs/2412.06264	https://github.com/facebookresearch/flow_matching	Flow Matching 官方指南与代码；含离散 FM 与与 SB/随机插值的关系。	foundation
2106.01357	Diffusion Schrödinger Bridge with Applications to Score-Based Generative Modeling	Valentin De Bortoli, James Thornton, J. Heng, A. Doucet	NeurIPS 2021	2021	2.1	https://arxiv.org/abs/2106.01357	https://github.com/JTT94/diffusion_schrodinger_bridge	DSB：用 IPF 交替回归 score 网络求解 SB，把 score-based 生成推广到任意两分布之间。	foundation
2110.11291	Likelihood Training of Schrödinger Bridge using Forward-Backward SDEs Theory	T. Chen, Guan-Horng Liu, Evangelos A. Theodorou	ICLR 2022	2022	2.1	https://arxiv.org/abs/2110.11291	https://github.com/ghliu/SB-FBSDE	SB-FBSDE：用前向-后向 SDE 理论给 SB 一个似然训练目标，连通 SB 与 score-based 模型。	foundation
2303.16852	Diffusion Schrödinger Bridge Matching	Yuyang Shi, Valentin De Bortoli, Andrew Campbell, A. Doucet	NeurIPS 2023	2023	2.1	https://arxiv.org/abs/2303.16852	https://github.com/yuyang-shi/dsbm-pytorch	DSBM：Iterative Markovian Fitting（IMF）交替投影到 Markov 类与 reciprocal 类，避免 IPF 的误差累积；unpaired 翻译主力基线。	foundation
2304.00917	Diffusion Bridge Mixture Transports, Schrödinger Bridge Problems and Generative Modeling	Stefano Peluchetti	JMLR 2023	2023	2.1	https://arxiv.org/abs/2304.00917		IDBM：给 bridge matching 的理论地基——桥混合 → Markov 化 → 迭代收敛到 SB（第一次迭代即合法 transport）。	foundation
2409.09376	BM2: Coupled Schrödinger Bridge Matching	Stefano Peluchetti	TMLR 2024	2024	2.1	https://arxiv.org/abs/2409.09376		BM²：耦合的双向 bridge matching，单轮同时拟合两个方向。	foundation
2106.10410	Deep Generative Learning via Schrödinger Bridge	Gefei Wang, Yuling Jiao, Qiang Xu, Yang Wang, Can Yang	ICML 2021	2021	2.1	https://arxiv.org/abs/2106.10410		早期用 SB 做生成建模的工作：以数据分布为终端的 SB + 分数估计。	foundation
2106.02081	Solving Schrödinger Bridges via Maximum Likelihood	Francisco Vargas, Pierre Thodoroff, Neil D. Lawrence, A. Lamacraft	Entropy 2021	2021	2.1	https://arxiv.org/abs/2106.02081		用最大似然（GP 回归 drift）求解 SB 的早期方法。	foundation
2309.16948	Denoising Diffusion Bridge Models	Linqi Zhou, Aaron Lou, Samar Khanna, S. Ermon	ICLR 2024	2024	2.2	https://arxiv.org/abs/2309.16948	https://github.com/alexzhou907/DDBM	DDBM：在 paired 端点之间定义 Doob h-transform 桥，统一 I²SB 类方法的训练/采样接口。	foundation
2302.11419	Aligned Diffusion Schrödinger Bridges	Vignesh Ram Somnath, Matteo Pariset, Ya-Ping Hsieh, María Rodríguez Martínez, Andreas Krause, Charlotte Bunne	UAI 2023	2023	2.2	https://arxiv.org/abs/2302.11419		Aligned DSB：利用已配对数据的 SB（单细胞对齐场景）。	foundation
2405.15885	Diffusion Bridge Implicit Models	Kaiwen Zheng, Guande He, Jianfei Chen, Fan Bao, Jun Zhu	ICLR 2025	2025	2.2	https://arxiv.org/abs/2405.15885	https://github.com/thu-ml/DiffusionBridge	DBIM：给 diffusion bridge 的 DDIM 式隐式采样器，大幅减少 NFE。	foundation
2410.22637	Consistency Diffusion Bridge Models	Guande He, Kaiwen Zheng, Jianfei Chen, Fan Bao, Jun Zhu	NeurIPS 2024	2024	2.4	https://arxiv.org/abs/2410.22637	https://github.com/thu-ml/DiffusionBridge	CDBM：把 consistency 训练搬到 diffusion bridge，'先训 bridge 再压缩'到少步。	foundation
2503.07535	LBM: Latent Bridge Matching for Fast Image-to-Image Translation	Clément Chadebec, O. Tasar, Sanjeev Sreetharan, Benjamin Aubin	ICCV 2025	2025	2.4	https://arxiv.org/abs/2503.07535	https://github.com/gojasper/LBM	LBM：在 SD latent 上做 bridge matching，1 NFE 完成图像翻译/重光照/深度等任务。	foundation
2310.01174	Light Schrödinger Bridge	A. Korotin, N. Gushchin, Evgeny Burnaev	ICLR 2024	2024	2.4	https://arxiv.org/abs/2310.01174	https://github.com/ngushchin/LightSB	LightSB：Gaussian-mixture 参数化的闭式 SB 求解器，分钟级训练，适合低维/latent。	foundation
2402.03207	Light and Optimal Schrödinger Bridge Matching	N. Gushchin, S. Kholkin, Evgeny Burnaev, A. Korotin	ICML 2024	2024	2.4	https://arxiv.org/abs/2402.03207	https://github.com/SKholkin/LightSB-Matching	LightSB-M：把 LightSB 的闭式参数化与 bridge matching 结合，单步优化到 SB。	foundation
2405.14449	Adversarial Schrödinger Bridge Matching	N. Gushchin, Daniil Selikhanovych, S. Kholkin, Evgeny Burnaev, A. Korotin	NeurIPS 2024	2024	2.4	https://arxiv.org/abs/2405.14449	https://github.com/Daniil-Selikhanovych/ASBM	ASBM：对抗式 D-IMF，用 GAN 判别器替代大量 NFE，像素空间少步 SB。	foundation
2305.15086	Unpaired Image-to-Image Translation via Neural Schrödinger Bridge	Beomsu Kim, Gihyun Kwon, Kwanyoung Kim, Jong-Chul Ye	ICLR 2024	2024	4.1	https://arxiv.org/abs/2305.15086	https://github.com/cyclomon/UNSB	UNSB：神经 SB 做 unpaired 图像翻译，配对抗正则与 patch 判别。	foundation
2203.08382	Dual Diffusion Implicit Bridges for Image-to-Image Translation	Xu Su, Jiaming Song, Chenlin Meng, S. Ermon	ICLR 2023	2023	4.1	https://arxiv.org/abs/2203.08382	https://github.com/suxuann/ddib	DDIB：两段 DDIM 拼接实现零样本图像翻译；两段 SB 拼接≠跨域 OT 的对照案例。	foundation
2108.01073	SDEdit: Guided Image Synthesis and Editing with Stochastic Differential Equations	Chenlin Meng, Yutong He, Yang Song, Jiaming Song, Jiajun Wu et al.	ICLR 2022	2022	4.1	https://arxiv.org/abs/2108.01073	https://github.com/ermongroup/SDEdit	SDEdit：噪声-去噪的零样本编辑基线。	foundation
2303.01751	Deep Momentum Multi-Marginal Schrödinger Bridge	T. Chen, Guan-Horng Liu, Molei Tao, Evangelos A. Theodorou	NeurIPS 2023	2023	2.3	https://arxiv.org/abs/2303.01751	https://github.com/TianrongChen/DMSB	DMSB：带动量的多边缘 SB，用于单细胞等多时间点轨迹推断（3MSBM 的前身）。	foundation
2306.09099	Unbalanced Diffusion Schrödinger Bridge	Matteo Pariset, Ya-Ping Hsieh, Charlotte Bunne, Andreas Krause, Valentin De Bortoli	arXiv 2023	2023	2.3	https://arxiv.org/abs/2306.09099		Unbalanced DSB：允许质量不守恒（细胞增殖/死亡）的 SB 求解。	foundation
2410.14055	Feedback Schrödinger Bridge Matching	Panagiotis Theodoropoulos, Nikolaos Komianos, Vincent Pacelli, Guan-Horng Liu, Evangelos A. Theodorou	ICLR 2025 (Oral)	2024	2.3	https://arxiv.org/abs/2410.14055		Feedback SBM：把 SB 求解写成闭环反馈控制，提升多边缘/受约束场景的稳定性。	foundation
2405.20630	Stochastic Optimal Control for Diffusion Bridges in Function Spaces	Byoungwoo Park, Jungwon Choi, Sungbin Lim, Juho Lee	NeurIPS 2024	2024	2.3	https://arxiv.org/abs/2405.20630		函数空间上的 diffusion bridge SOC（FAS 的函数空间前身）。	foundation
2502.01416	Categorical Schrödinger Bridge Matching	Grigoriy Ksenofontov, A. Korotin	ICML 2025	2025	2.5	https://arxiv.org/abs/2502.01416		Categorical SBM：把 IMF 推到离散状态空间（categorical），文本/图/序列可用。	foundation
2410.01500	Discrete Diffusion Schrödinger Bridge Matching for Graph Transformation	Jun Hyeong Kim, Seonghwan Kim, Seokhyun Moon, Hyeongwoo Kim, Jeheon Woo, Woo Youn Kim	ICLR 2025	2025	2.5	https://arxiv.org/abs/2410.01500		离散 DSBM 做图变换（分子/图编辑）。	foundation
2210.02747	Flow Matching for Generative Modeling	Y. Lipman, Ricky T. Q. Chen, Heli Ben-Hamu, Maximilian Nickel, Matt Le	ICLR 2023	2023	2.6	https://arxiv.org/abs/2210.02747	https://github.com/facebookresearch/flow_matching	Flow Matching：条件回归训练 ODE 生成模型；SB 视角下它是 σ→0 的确定性极限。	foundation
2302.00482	Improving and generalizing flow-based generative models with minibatch optimal transport	Alexander Tong, Esmeralda S. Whitammer, G. Huguet, Yanlei Zhang, Jarrid Rector-Brooks et al.	TMLR 2024	2024	2.6	https://arxiv.org/abs/2302.00482	https://github.com/atong01/conditional-flow-matching	OT-CFM：minibatch OT coupling 让 FM 轨迹变直、可做 unpaired 翻译。	foundation
2307.03672	Simulation-free Schrödinger bridges via score and flow matching	Alexander Tong, Esmeralda S. Whitammer, Kilian Fatras, Lazar Atanackovic, Yanlei Zhang et al.	AISTATS 2024	2024	2.6	https://arxiv.org/abs/2307.03672	https://github.com/atong01/conditional-flow-matching	[SF]²M：score + flow matching 的 simulation-free SB 求解器。	foundation
2209.03003	Flow Straight and Fast: Learning to Generate and Transfer Data with Rectified Flow	Xingchao Liu, Chengyue Gong, Qiang Liu	ICLR 2023	2023	2.6	https://arxiv.org/abs/2209.03003	https://github.com/gnobitab/RectifiedFlow	Rectified Flow：reflow 直线化 + 蒸馏到一步。	foundation
2303.08797	Stochastic Interpolants: A Unifying Framework for Flows and Diffusions	M. Albergo, N. Boffi, E. Vanden-Eijnden	JMLR 2025	2025	2.6	https://arxiv.org/abs/2303.08797		Stochastic Interpolants：统一 flow / diffusion / bridge / SB 的插值框架。	foundation
2209.15571	Building Normalizing Flows with Stochastic Interpolants	M. Albergo, E. Vanden-Eijnden	ICLR 2023	2023	2.6	https://arxiv.org/abs/2209.15571		随机插值短版：用插值构造 normalizing flow。	foundation
2403.13117	Optimal Flow Matching: Learning Straight Trajectories in Just One Step	Nikita Kornilov, Alexander Gasnikov, A. Korotin	NeurIPS 2024	2024	2.6	https://arxiv.org/abs/2403.13117		Optimal Flow Matching：一步得到直线 OT 轨迹。	foundation
2201.12220	Neural Optimal Transport	Alexander Korotin, Daniil Selikhanovych, Evgeny Burnaev	ICLR 2023	2023	2.6	https://arxiv.org/abs/2201.12220	https://github.com/iamalexkorotin/NeuralOptimalTransport	Neural OT：对抗式弱 OT 求解器，SB/EOT 求解器的重要对照。	foundation
2409.08861	Adjoint Matching: Fine-tuning Flow and Diffusion Generative Models with Memoryless Stochastic Optimal Control	Carles Domingo-Enrich, Michal Drozdzal, Brian Karrer, Ricky T. Q. Chen	ICLR 2025 (Spotlight)	2024	3.2	https://arxiv.org/abs/2409.08861		Adjoint Matching：memoryless SOC + lean adjoint 回归做 reward 微调；AS/ASBS/DAM/FAS 的共同源头。	foundation
2305.13301	Training Diffusion Models with Reinforcement Learning	Kevin Black, Michael Janner, Yilun Du, Ilya Kostrikov, S. Levine	ICLR 2024	2024	3.2	https://arxiv.org/abs/2305.13301	https://github.com/jannerm/ddpo	DDPO：把去噪过程当 MDP 用 policy gradient 微调扩散模型。	foundation
2111.15141	Path Integral Sampler: a stochastic control approach for sampling	Qinsheng Zhang, Yongxin Chen	ICLR 2022	2022	3.3	https://arxiv.org/abs/2111.15141	https://github.com/qsh-zh/pis	PIS：路径积分控制视角的扩散采样器，SOC 采样线源头。	foundation
2302.13834	Denoising Diffusion Samplers	Francisco Vargas, Will Grathwohl, A. Doucet	ICLR 2023	2023	3.3	https://arxiv.org/abs/2302.13834	https://github.com/franciscovargas/denoising_diffusion_samplers	DDS：去噪扩散采样器，KL 控制目标。	foundation
2307.01050	Transport meets Variational Inference: Controlled Monte Carlo Diffusions	Francisco Vargas, Shreyas Padhy, Denis Blessing, Nikolas Nusken	ICLR 2024	2024	3.3	https://arxiv.org/abs/2307.01050		CMCD：controlled Monte Carlo diffusions，把 transport 与变分推断统一。	foundation
2402.06121	Iterated Denoising Energy Matching for Sampling from Boltzmann Densities	Tara Akhound-Sadegh, Jarrid Rector-Brooks, A. Bose, Sarthak Mittal, Pablo Lemos et al.	ICML 2024	2024	3.3	https://arxiv.org/abs/2402.06121	https://github.com/jarridrb/DEM	iDEM：simulation-free 能量采样竞品，Boltzmann 生成基准（DW4/LJ13/LJ55）。	foundation
2410.02711	NETS: A Non-Equilibrium Transport Sampler	M. Albergo, Eric Vanden-Eijnden	ICML 2025	2025	3.3	https://arxiv.org/abs/2410.02711		NETS：非平衡 transport 采样器（annealed Langevin + 学习的 transport）。	foundation
2503.01006	Underdamped Diffusion Bridges with Applications to Sampling	Denis Blessing, Julius Berner, Lorenz Richter, Gerhard Neumann	ICLR 2025	2025	3.3	https://arxiv.org/abs/2503.01006		Underdamped Diffusion Bridges：欠阻尼动力学的 bridge 采样器。	foundation
2312.03491	Schrodinger Bridges Beat Diffusion Models on Text-to-Speech Synthesis	Zehua Chen, Guande He, Kaiwen Zheng, Xu Tan, Jun Zhu	arXiv 2023	2023	4.2	https://arxiv.org/abs/2312.03491		Bridge-TTS：用 SB 替代扩散做 TTS，少步下质量更优。	foundation
2407.16074	Schrödinger Bridge for Generative Speech Enhancement	Ante Jukic, Roman Korostik, J. Balam, Boris Ginsburg	Interspeech 2024	2024	4.2	https://arxiv.org/abs/2407.16074		语音增强的 SB 模型。	foundation
2002.04461	TrajectoryNet: A Dynamic Optimal Transport Network for Modeling Cellular Dynamics	Alexander Tong, Jessie Huang, Guy Wolf, D. V. Dijk, Smita Krishnaswamy	ICML 2020	2020	4.3	https://arxiv.org/abs/2002.04461	https://github.com/KrishnaswamyLab/TrajectoryNet	TrajectoryNet：动态 OT 做单细胞轨迹推断的起点。	foundation
branchsbm-iclr2026	Branched Schrödinger Bridge Matching	Sophia Tang, Yinuo Zhang, Alexander Tong, Pranam Chatterjee	ICLR 2026	2026	2.3	https://iclr.cc/virtual/2026/poster/10008461	https://github.com/sophtang/BranchSBM	BranchSBM：学多条分叉的速度场 + 各分支的质量增长网络，把 Unbalanced CondSOC 之和作为目标，刻画单细胞命运分叉与药物扰动的多模态终态；单分支 SBM 会模式塌缩。	survey2026
2510.16587	Multi-Marginal Schrödinger Bridge Matching		arXiv 2025	2025	2.3	https://arxiv.org/abs/2510.16587	https://github.com/bw-park/MSBM	MSBM：把 IMF 推广到多边缘约束——逐区间构造局部 SB 并共享全局控制参数化，保证中间边缘全部满足且轨迹连续；scRNA-seq 上与 3MSBM 同赛道。	survey2026
catsbench-iclr2026	Entering the Era of Discrete Diffusion Models: A Benchmark for Schrödinger Bridges and Entropic Optimal Transport	Xavier Aramayo Carrasco, Grigoriy Ksenofontov, Aleksei Leonov, Iaroslav Koshelev, Alexander Korotin	ICLR 2026	2026	2.5	https://iclr.cc/virtual/2026/poster/10008954	https://github.com/gregkseno/catsbench	离散空间 SB 基准：构造有解析解的分布对以严格评测离散 SB 求解器；副产品 DLightSB / DLightSB-M 与 α-CSBM。离散 SB 第一次有了 ground truth。	survey2026
2601.22408	Minimal-Action Discrete Schrödinger Bridge Matching for Peptide Sequence Design		arXiv 2026	2026	2.5	https://arxiv.org/abs/2601.22408		MadSBM：把肽序列生成写成氨基酸编辑图上的受控 CTMC，参考过程来自冻结的 ESM-2 logits，学时变控制场得到低作用量传输路径；首次在 SB 生成模型上做离散 classifier guidance。	survey2026
2508.10684	MDNS: Masked Diffusion Neural Sampler via Stochastic Optimal Control		arXiv 2025	2025	3.1	https://arxiv.org/abs/2508.10684		MDNS：CTMC 随机最优控制视角训练离散神经采样器（Ising/Potts），用免微分的路径测度对齐目标与加权去噪交叉熵实现高维可扩展；与 DASBS 同属离散能量采样线。	survey2026
2604.08580	Adjoint Matching through the Lens of the Stochastic Maximum Principle in Optimal Control		arXiv 2026	2026	3.2	https://arxiv.org/abs/2604.08580		从随机极大值原理（SMP）重推 Adjoint Matching：给出控制相关漂移/扩散与凸运行成本下的一般 Hamiltonian adjoint matching 目标，证明其一阶变分与原 SOC 目标一致；lean adjoint 是状态无关扩散下的特例。	survey2026
2410.13643	Fine-Tuning Discrete Diffusion Models via Reward Optimization with Applications to DNA and Protein Design		arXiv 2024	2024	3.2	https://arxiv.org/abs/2410.13643		DRAKES：对 masked 离散扩散做 reward 微调（Gumbel-Softmax 反传），目标是既像预训练分布又高 reward；DAM 的直接对照。	survey2026
unidb-icml2025	UniDB: A Unified Diffusion Bridge Framework via Stochastic Optimal Control		ICML 2025	2025	2.2	https://proceedings.mlr.press/v267/zhu25o.html	https://github.com/UniDB-SOC/UniDB	UniDB：把 diffusion bridge 写成 SOC 问题并给出闭式最优控制器；Doob h-transform 类桥（DDBM 等）是终端罚系数 →∞ 的特例，可调终端罚显著改善修复细节。	survey2026
2505.21528	A Unified and Fast-Sampling Diffusion Bridge Framework via Stochastic Optimal Control (UniDB++)		arXiv 2025	2025	2.4	https://arxiv.org/abs/2505.21528	https://github.com/2769433owo/UniDB-plusplus	UniDB++：为 UniDB 反向 SDE 推出精确闭式解 + 数据预测 + SDE-Corrector，免训练把采样步数减到 5–10（最多 20×），并在特定条件下退化为 DBIM。	survey2026
2604.05673	Rectified Schrödinger Bridge Matching for Few-Step Visual Navigation		arXiv 2026	2026	4.4	https://arxiv.org/abs/2604.05673		RSBM：证明条件速度场在整个熵正则 ε 谱上函数形式不变（SB ε=1 ↔ OT ε→0 同一网络），降低 ε 线性减小速度方差；视觉导航 3 步积分达 92% 成功率、94.5% 余弦相似度，无需蒸馏。	survey2026
2512.07212	Sample from What You See: Visuomotor Policy Learning via Diffusion Bridge with Observation-Embedded Stochastic Differential Equation		ICML 2026	2026	4.4	https://arxiv.org/abs/2512.07212	https://github.com/jianghcsr/BridgePolicy	BridgePolicy：把观测直接嵌入扩散 SDE，用 diffusion bridge 从'观测先验'而非高斯噪声出发采样动作；语义对齐器解决观测/动作维度异构；52 个仿真任务 + 5 个真机任务优于现有生成式策略。	survey2026
2503.21756	A Unified Framework for Diffusion Bridge Problems: Flow Matching and Schrödinger Matching into One		arXiv 2025	2025	2.6	https://arxiv.org/abs/2503.21756		统一视角：FM、minibatch-OT FM、minibatch SB-FM 与 DSBM 都是同一 bridge 框架的特例；含对 IMF 与 CFM 的简明技术回顾。	survey2026
2603.18992	Foundations of Schrödinger Bridges for Generative Modeling		arXiv 2026	2026	1	https://arxiv.org/abs/2603.18992		从 OT、随机控制与路径空间优化出发系统建立 SB 数学基础的教程式指南，聚焦动态表述与现代生成建模的联系（含 DSBM 专节）。	survey2026
2606.30053	Notes on generative modeling: flow matching, diffusion, optimal transport and Schrödinger bridge		arXiv 2026	2026	1	https://arxiv.org/abs/2606.30053		Peyresq 2026 暑期学校讲义：用 OT 把 flow matching、扩散与 SB 串成一条线，强调 IMF 收敛到熵最优耦合而 rectified flow 不收敛到 OT 耦合。	survey2026
